index,failure_probability,ml_prediction,expert_score,final_status
0,0.0507536306977272,0,1,NORMAL
1,0.1375502347946167,0,1,NORMAL
2,0.38909563422203064,0,6,WARNING
3,0.22244614362716675,0,4,WARNING
4,0.1275836080312729,0,2,NORMAL
5,0.8338566422462463,1,5,WARNING
6,0.9210090041160583,1,18,CRITICAL
7,0.2884347438812256,0,7,WARNING
8,0.08360964804887772,0,4,WARNING
9,0.13955654203891754,0,1,NORMAL
10,0.3132176101207733,0,2,NORMAL
11,0.3247101902961731,0,2,NORMAL
12,0.42628246545791626,0,6,WARNING
13,0.3712584972381592,0,2,NORMAL
14,0.8476631045341492,1,5,WARNING
15,0.9204514622688293,1,6,WARNING
16,0.1116659864783287,0,0,NORMAL
17,0.4249087870121002,0,4,WARNING
18,0.66746985912323,1,5,WARNING
19,0.26168933510780334,0,1,NORMAL
20,0.4310554563999176,0,2,NORMAL
21,0.4308800995349884,0,6,WARNING
22,0.5820071697235107,0,4,WARNING
23,0.4946550726890564,0,3,NORMAL
24,0.6594806909561157,1,5,WARNING
25,0.3751830458641052,0,2,NORMAL
26,0.45623958110809326,0,9,WARNING
27,0.32935306429862976,0,2,NORMAL
28,0.6560600399971008,1,7,WARNING
29,0.6608894467353821,1,7,WARNING
30,0.46972087025642395,0,5,WARNING
31,0.7615700364112854,1,5,WARNING
32,0.6904391646385193,1,5,WARNING
33,0.842599093914032,1,5,WARNING
34,0.9287642240524292,1,9,WARNING
35,0.016416415572166443,0,3,NORMAL
36,0.9851595759391785,1,13,HIGH RISK
37,0.007546187844127417,0,3,NORMAL
38,0.9009325504302979,1,7,WARNING
39,0.9762628674507141,1,7,WARNING
40,0.008041638880968094,0,4,WARNING
41,0.5653509497642517,0,3,NORMAL
42,0.5199474096298218,0,3,NORMAL
43,0.7049311399459839,1,9,WARNING
44,0.6265624761581421,0,3,NORMAL
45,0.2798480987548828,0,1,NORMAL
46,0.8520654439926147,1,6,WARNING
47,0.9506316184997559,1,10,WARNING
48,0.0027965193148702383,0,4,WARNING
49,0.983331561088562,1,13,HIGH RISK
50,0.0033069849014282227,0,6,WARNING
51,0.9364321827888489,1,10,WARNING
52,0.007897736504673958,0,2,NORMAL
53,0.774314820766449,1,7,WARNING
54,0.5422735214233398,0,3,NORMAL
55,0.916999340057373,1,8,WARNING
56,0.4712463319301605,0,2,NORMAL
